1;3;M;W;fulgence;B
1;5;O;-;longinus_eugenius_vindemial;Bb
1;8;O;-;quodvult_deo; Bb
1;11;M;W;victor_miltiade_gelase;Pp
2;4;O;-;celerine_co;Mmf
3;7;F;R;perpetue_felicite_NA;Mmf
4;30;F;W;ND_Africa
5;6;O;-;james_marianus_co;Mm
6;4;M;W;optat;B
7;10;O;-;marciana;V&Mf
7;17;M;R;sperat_co;Mm
8;23;O;-;emily_vialar;V
8;27;F;W;monique_NA
8;28;S;W;augustin_hippone_NA;B&D
8;30;M;W;alypius_possidius;Bb
9;10;O;-;nemesianus_co;Mm
9;12;O;-;marcellinus_alone;M
9;16;S;R;corneille_cyprien_NA;B&M
10;30;M;R;marcellus_maximilian;Mm
12;5;M;R;crispina;Mf
