1;3;O;-;Saint Genevieve;V
1;15;O;-;Saint Remigius;B
2;14;F;W;Saints Cyril and Methodius;m|B
2;19;O;-;Saint Bernadette Soubirous;V
4;29;F;W;Saint Catherine of Siena;V&D
5;20;O;-;Saint Ivo;p
5;30;M;W;Saint Joan of Arc, secondary patroness of France;V
6;2;O;-;Saint Pothinus, bishop, Saint Blandina, virgin, and their companions;Mm
6;5;O;-;Saint Clotilde;
7;11;F;W;Saint Benedict;Ab
7;23;F;W;Saint Brigitta of Sweden;rF
8;9;F;R;Saint Teresa Benedicta of the Cross;V&Mf
8;15;S;W;Assumption of the Blessed Virgin Mary, principal patroness of France
8;26;O;-;Saint Caesarius of Arles;B
10;1;M;W;Saint Thérèse of the Child Jesus, secondary patroness of France;V
11;6;S;W;Dedication of Churches for wich date is unknown
